id,nome_popular,nome_cientifico,especie,altura_max,diametro,bairro,local,clima,regiao,origem,latitude,longitude,extincao,desc,data_1,image
27,Paineira rosa,Chorisia speciosa,Ceiba,30,100,Villa Branca,Av das Letras,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.271014849610992,-45.9389826197829,Abundante,"A Paineira-rosa, como é conhecida, ocorre naturalmente nos estados da Bahia, Espírito Santo, Goiás, Mato Grosso do Sul, Minas Gerais, Paraíba, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo e Distrito Federal.
Ela chega a medir até 20 metros de altura, tem o tronco cinzento-esverdeado com estrias. O tronco das paineiras tem boa capacidade de sintetizar clorofila, isto auxilia o crescimento mesmo quando a árvore está despida de folhas. As folhas caem na época da floração. São grandes, com cinco pétalas rosadas com pintas vermelhas e bordas brancas. Há uma variedade menos comum, com flores brancas.
Os frutos são cápsulas verdes, e quando maduras arrebentam expondo as sementes envoltas em fibras finas e brancas que auxiliam na flutuação. A partir dos vinte anos de idade aproximadamente, os espinhos costumam começar a cair na parte baixa do caule, e, gradualmente, também caem das partes mais altas. Diz-se no Brasil que isto permite à árvore receber ninhos de pássaros, o que seria impossível de acontecer quando ela está com espinhos longos e pontiagudos, assim, flores e frutos já não estão presentes, a árvore continua dando sua contribuição hospedando os passarinhos. A madeira da paineira-rosa é bastante leve, mole e pouco resistente, além de não ter boa durabilidade. Pode ser utilizada na confecção de calçados, caixotaria, celulose e artesanato. A paina é uma fibra fina e sedosa, mas pouco resistente, não sendo muito aproveitada na confecção de tecidos, mas é usada como preenchimento de travesseiros e brinquedos de pelúcia.
Por terem crescimento rápido são bastante populares na recuperação de áreas degradadas. A paineira-rosa é uma planta excelente para o paisagismo de grandes áreas, como parques e jardins públicos, devido ao seu rápido crescimento e beleza. A floração é intensa e ocorre no verão e outono, com a árvore semi ou completamente despida de sua folhagem.",2022-11-10 19:11:33.959355+00,Paineira_1.jpg
28,Mutambo,Guazuma ulmifolia,Guazuma ulmifolia Lamarck,16,30,Pq Brasil,Rua Faria Lima,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.2925189191426,-45.966276778252904,Abundante,"O Mutambo é uma espécie arbórea com altura entre 8-16 m e tronco com 30-50 cm de diâmetro, revestido por casca acinzentada com ritidoma escamoso. Suas folhas são simples, ovaladas, cobertas por pubescência em ambas as faces e com 10 a 13 cm de comprimento por 4 a 6 cm de largura. Os frutos são cápsulas grosseiras de coloração escura e polpa seca e adocicada. Planta semidecídua, pioneira, característica das formações secundárias da floresta semidecídua da bacia do Paraná. Sua dispersão é ampla, porém irregular e descontínua, ocorrendo também em outras formações com altitudes de até 800 m. A floração ocorre a partir do final do mês de setembro, prolongando-se até o início de novembro. A maturação dos frutos ocorre em agosto-setembro, entretanto, permanecem na árvore.
As espécies de árvores nativas como o MUTAMBO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 19:20:39.657874+00,Mutambo_1.jpg
29,Quaresmeira,Tibouchina granulosa,T. granulosa,12,35,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.26394544158879,-45.94680125902344,Abundante,"A quaresmeira é uma árvore de beleza notável, que encanta por sua elegância e exuberante floração. Seu porte geralmente é pequeno a médio, podendo atingir de 8 a 12 metros de altura. O tronco pode ser simples ou múltiplo, com diâmetro de 30 a 40 cm. As folhas são simples, elípticas, pubescentes, coriáceas, com nervuras longitudinais bem marcadas e margens inteiras. A floração ocorre duas vezes por ano, no outono e na primavera, despontando abundantes flores pentâmeras, simples, com estames longos e corola arroxeada, sendo que na variedade Kathleen estas se apresentam róseas. O fruto é pequeno, indeiscente, marrom, com numerosas sementes minúsculas, dispersadas pelo vento.
Mesmo quando não está em flor, a quaresmeira é ornamental. Sua copa é de cor verde escura, com formato arredondado, e sua folhagem pode ser perene ou semi-decídua, dependendo da variação natural da espécie e do clima em que se encontra. Por suas qualidades, ela é uma das principais árvores utilizadas na arborização urbana no Brasil, podendo ornamentar calçadas, avenidas, praças, parques e jardins em geral.",2022-11-10 18:21:13.814789+00,Quaresmeira_1.jpg
30,Mutambo,Guazuma ulmifolia,Guazuma ulmifolia Lamarck,16,30,Pq Brasil,Rua Faria Lima,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.2925189191426,-45.966276778252904,Abundante,"O Mutambo é uma espécie arbórea com altura entre 8-16 m e tronco com 30-50 cm de diâmetro, revestido por casca acinzentada com ritidoma escamoso. Suas folhas são simples, ovaladas, cobertas por pubescência em ambas as faces e com 10 a 13 cm de comprimento por 4 a 6 cm de largura. Os frutos são cápsulas grosseiras de coloração escura e polpa seca e adocicada. Planta semidecídua, pioneira, característica das formações secundárias da floresta semidecídua da bacia do Paraná. Sua dispersão é ampla, porém irregular e descontínua, ocorrendo também em outras formações com altitudes de até 800 m. A floração ocorre a partir do final do mês de setembro, prolongando-se até o início de novembro. A maturação dos frutos ocorre em agosto-setembro, entretanto, permanecem na árvore.
As espécies de árvores nativas como o MUTAMBO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 19:20:39.657874+00,Mutambo_1.jpg
31,Mutambo,Guazuma ulmifolia,Guazuma ulmifolia Lamarck,16,30,Pq Brasil,Rua Faria Lima,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.2925189191426,-45.966276778252904,Abundante,"O Mutambo é uma espécie arbórea com altura entre 8-16 m e tronco com 30-50 cm de diâmetro, revestido por casca acinzentada com ritidoma escamoso. Suas folhas são simples, ovaladas, cobertas por pubescência em ambas as faces e com 10 a 13 cm de comprimento por 4 a 6 cm de largura. Os frutos são cápsulas grosseiras de coloração escura e polpa seca e adocicada. Planta semidecídua, pioneira, característica das formações secundárias da floresta semidecídua da bacia do Paraná. Sua dispersão é ampla, porém irregular e descontínua, ocorrendo também em outras formações com altitudes de até 800 m. A floração ocorre a partir do final do mês de setembro, prolongando-se até o início de novembro. A maturação dos frutos ocorre em agosto-setembro, entretanto, permanecem na árvore.
As espécies de árvores nativas como o MUTAMBO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 19:20:39.657874+00,Mutambo_1.jpg
32,Cambuci,Campomanesia phaea,C. phaea,5,30,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.264238673003216,-45.946047558310276,Em Extinção,"O Cambuci é uma árvore frutífera nativa da nossa Mata Atlântica que, infelizmente, está nesta lista, podendo deixar de existir.
Também apreciada por sua beleza ornamental em fase de frutificação, o Cambuci produz um fruto adocicado, um tanto ácido, e muito utilizado para compotas, sucos, doces e geleias, além de bebidas alcoólicas como cachaças e licores. Esta espécie pode ser encontrada desde Minas Gerais, Rio de Janeiro, até São Paulo. Em Rio Grande da Serra e Paranapiacaba, cidades pertencentes ao Estado de São Paulo, essa árvore já ganhou até festa dedicada a ela, onde podemos apreciar diversas receitas saborosas feitas da fruta de Cambuci. O fruto, de polpa carnosa e perfume intenso, também pode ser consumido in natura, surgindo entre o final do Verão e o Outono. A fruta do Cambuci amadurece rápido, sendo necessário colher, pois elas logo caem do pé e podem rachar no impacto com o chão. A floração do Cambuci se dá entre os meses de Agosto a Novembro, quando podemos apreciar a beleza de flores grandes e brancas. Atraem muitas aves nesta fase e na fase de frutificação.
A muda de Cambuci mede de 30 a 60 cm de altura, mas o seu crescimento é moderado. Considerada de médio porte, esta árvore pode atingir entre 3 a 5 metros de altura.",2022-11-10 18:31:30.084751+00,Cambuci_1.jpg
33,Açoita cavalo,Luehea divaricata,L. divaricata,30,100,Jardim Marcondes,Av Getúlio Dorneles Vargas,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.286734252079263,-45.953445090593924,Abundante,"A árvore Açoita Cavalo, com 3,5 a 15 m de altura e 20 a 50 cm de diâmetro, podendo atingir até 30 m de altura e 100 cm de diâmetro, na idade adulta. O tronco é tortuoso, nodoso, com reentrâncias e a casca externa possui coloração parda-acinzentada-escura. As folhas são simples, alternas, dísticas, irregularmente serreadas, com três nervuras longitudinais típicas, ásperas na face ventral e tomentosas na face dorsal. As flores são vistosas de coloração rósea, roxa ou raramente branca, e do Sulos frutos são cápsulas lobada de valvas lenhosas contendo de cinco a quinze sementes.
Ocorre naturalmente do sul da Bahia, Rio de Janeiro, Minas Gerais, Goiás e Mato Grosso.
Espécie comum na vegetação secundária, principalmente em capoeiras e invadindo as pastagens. Apresenta dispersão irregular e descontínua, sendo particularmente ao longo dos rios, terrenos rochosos e íngremes onde a floresta é aberta e nas formações secundárias. A floração ocorre entre os meses de dezembro e fevereiro, a maturação dos frutos ocorre entre maio e agosto. Além disso, produz anualmente grande quantidade de sementes viáveis, disseminadas pelo vento. As espécies de árvores nativas como a AÇOITA CAVALO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 19:34:59.365164+00,Açoita_cavalo_1.jpg
34,Açoita cavalo,Luehea divaricata,L. divaricata,30,100,Jardim Marcondes,Av Getúlio Dorneles Vargas,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.286734252079263,-45.953445090593924,Abundante,"A árvore Açoita Cavalo, com 3,5 a 15 m de altura e 20 a 50 cm de diâmetro, podendo atingir até 30 m de altura e 100 cm de diâmetro, na idade adulta. O tronco é tortuoso, nodoso, com reentrâncias e a casca externa possui coloração parda-acinzentada-escura. As folhas são simples, alternas, dísticas, irregularmente serreadas, com três nervuras longitudinais típicas, ásperas na face ventral e tomentosas na face dorsal. As flores são vistosas de coloração rósea, roxa ou raramente branca, e do Sulos frutos são cápsulas lobada de valvas lenhosas contendo de cinco a quinze sementes.
Ocorre naturalmente do sul da Bahia, Rio de Janeiro, Minas Gerais, Goiás e Mato Grosso.
Espécie comum na vegetação secundária, principalmente em capoeiras e invadindo as pastagens. Apresenta dispersão irregular e descontínua, sendo particularmente ao longo dos rios, terrenos rochosos e íngremes onde a floresta é aberta e nas formações secundárias. A floração ocorre entre os meses de dezembro e fevereiro, a maturação dos frutos ocorre entre maio e agosto. Além disso, produz anualmente grande quantidade de sementes viáveis, disseminadas pelo vento. As espécies de árvores nativas como a AÇOITA CAVALO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 19:34:59.365164+00,Açoita_cavalo_1.jpg
35,Ipê branco,Tabebuia roseo-alba,Bignoniaceae,20,50,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Cerrado,América do Sul,-23.264207,-45.946274,Abundante,"O ipê-branco é uma árvore decídua, de floração exuberante, nativa do cerrado e pantanal brasileiros. Ele apresenta tronco reto, com cerca de 40 a 50 centímetros de diâmetro e casca fissurada. Apresenta porte pequeno a médio, alcançando de 7 a 16 metros de altura quando adulta. A copa é piramidal, com folhas compostas, trifoliadas e de cor verde-azulada. A floração geralmente ocorre no final do inverno ou primavera, entre os meses de agosto e outubro, enquanto a árvore está completamente despida de suas folhas. As flores tem forma de trompete e são brancas ou levemente rosadas. Os frutos são cápsulas bivalvas deiscentes, semelhantes a vagens e contêm numerosas sementes membranáceas, pequenas, esbranquiçadas e aladas. O ipê-branco é uma árvore de grande valor ornamental, que valoriza projetos paisagísticos tanto pelo seu florescimento vistoso, quanto pela sua forma elegante e copa azulada. Por seu caduca durante o inverno, é boa para produzir sombra no verão e permitir maior passagem da luz e calor do sol no inverno. Além de suas qualidades ornamentais, este ipê apresenta madeira de excelente durabilidade, moderadamente pesada, de superfície macia e lustrosa, boa para acabamentos internos na construção civil.",2022-11-10 17:53:54.835831+00,Ipê_branco_jAumR7e.jpg
36,Ipê amarelo,Handroanthus albus,H. serratifolius,30,60,Jardim Marcondes,Av Getúlio Dorneles Vargas,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.26855821740107,-45.95053489395256,Abundante,"O Ipê Amarelo é uma espécie arbórea com 20-30 m de altura e 40-60 cm de diâmetro. Suas folhas são compostas, com folíolos densamente branco-pilosos em ambas as faces quando jovens e, uma vez adultos, glabros na face superior e prateados na face inferior. As flores são reunidas em inflorescências terminais, com flores amarelas medindo entre 17 e 33 cm de comprimento. Os frutos são cápsulas cilíndricas, revestido por material aveludado.
 As espécies de árvores nativas como o IPÊ AMARELO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 18:44:52.150896+00,Ipê_amarelo_1.jpg
37,Quaresmeira,Tibouchina granulosa,T. granulosa,12,35,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.26394544158879,-45.94680125902344,Abundante,"A quaresmeira é uma árvore de beleza notável, que encanta por sua elegância e exuberante floração. Seu porte geralmente é pequeno a médio, podendo atingir de 8 a 12 metros de altura. O tronco pode ser simples ou múltiplo, com diâmetro de 30 a 40 cm. As folhas são simples, elípticas, pubescentes, coriáceas, com nervuras longitudinais bem marcadas e margens inteiras. A floração ocorre duas vezes por ano, no outono e na primavera, despontando abundantes flores pentâmeras, simples, com estames longos e corola arroxeada, sendo que na variedade Kathleen estas se apresentam róseas. O fruto é pequeno, indeiscente, marrom, com numerosas sementes minúsculas, dispersadas pelo vento.
Mesmo quando não está em flor, a quaresmeira é ornamental. Sua copa é de cor verde escura, com formato arredondado, e sua folhagem pode ser perene ou semi-decídua, dependendo da variação natural da espécie e do clima em que se encontra. Por suas qualidades, ela é uma das principais árvores utilizadas na arborização urbana no Brasil, podendo ornamentar calçadas, avenidas, praças, parques e jardins em geral.",2022-11-10 18:21:13.814789+00,Quaresmeira_1.jpg
38,Açoita cavalo,Luehea divaricata,L. divaricata,30,100,Jardim Marcondes,Av Getúlio Dorneles Vargas,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.286734252079263,-45.953445090593924,Abundante,"A árvore Açoita Cavalo, com 3,5 a 15 m de altura e 20 a 50 cm de diâmetro, podendo atingir até 30 m de altura e 100 cm de diâmetro, na idade adulta. O tronco é tortuoso, nodoso, com reentrâncias e a casca externa possui coloração parda-acinzentada-escura. As folhas são simples, alternas, dísticas, irregularmente serreadas, com três nervuras longitudinais típicas, ásperas na face ventral e tomentosas na face dorsal. As flores são vistosas de coloração rósea, roxa ou raramente branca, e do Sulos frutos são cápsulas lobada de valvas lenhosas contendo de cinco a quinze sementes.
Ocorre naturalmente do sul da Bahia, Rio de Janeiro, Minas Gerais, Goiás e Mato Grosso.
Espécie comum na vegetação secundária, principalmente em capoeiras e invadindo as pastagens. Apresenta dispersão irregular e descontínua, sendo particularmente ao longo dos rios, terrenos rochosos e íngremes onde a floresta é aberta e nas formações secundárias. A floração ocorre entre os meses de dezembro e fevereiro, a maturação dos frutos ocorre entre maio e agosto. Além disso, produz anualmente grande quantidade de sementes viáveis, disseminadas pelo vento. As espécies de árvores nativas como a AÇOITA CAVALO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 19:34:59.365164+00,Açoita_cavalo_1.jpg
39,Quaresmeira,Tibouchina granulosa,T. granulosa,12,35,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.26394544158879,-45.94680125902344,Abundante,"A quaresmeira é uma árvore de beleza notável, que encanta por sua elegância e exuberante floração. Seu porte geralmente é pequeno a médio, podendo atingir de 8 a 12 metros de altura. O tronco pode ser simples ou múltiplo, com diâmetro de 30 a 40 cm. As folhas são simples, elípticas, pubescentes, coriáceas, com nervuras longitudinais bem marcadas e margens inteiras. A floração ocorre duas vezes por ano, no outono e na primavera, despontando abundantes flores pentâmeras, simples, com estames longos e corola arroxeada, sendo que na variedade Kathleen estas se apresentam róseas. O fruto é pequeno, indeiscente, marrom, com numerosas sementes minúsculas, dispersadas pelo vento.
Mesmo quando não está em flor, a quaresmeira é ornamental. Sua copa é de cor verde escura, com formato arredondado, e sua folhagem pode ser perene ou semi-decídua, dependendo da variação natural da espécie e do clima em que se encontra. Por suas qualidades, ela é uma das principais árvores utilizadas na arborização urbana no Brasil, podendo ornamentar calçadas, avenidas, praças, parques e jardins em geral.",2022-11-10 18:21:13.814789+00,Quaresmeira_1.jpg
40,Quaresmeira,Tibouchina granulosa,T. granulosa,12,35,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.26394544158879,-45.94680125902344,Abundante,"A quaresmeira é uma árvore de beleza notável, que encanta por sua elegância e exuberante floração. Seu porte geralmente é pequeno a médio, podendo atingir de 8 a 12 metros de altura. O tronco pode ser simples ou múltiplo, com diâmetro de 30 a 40 cm. As folhas são simples, elípticas, pubescentes, coriáceas, com nervuras longitudinais bem marcadas e margens inteiras. A floração ocorre duas vezes por ano, no outono e na primavera, despontando abundantes flores pentâmeras, simples, com estames longos e corola arroxeada, sendo que na variedade Kathleen estas se apresentam róseas. O fruto é pequeno, indeiscente, marrom, com numerosas sementes minúsculas, dispersadas pelo vento.
Mesmo quando não está em flor, a quaresmeira é ornamental. Sua copa é de cor verde escura, com formato arredondado, e sua folhagem pode ser perene ou semi-decídua, dependendo da variação natural da espécie e do clima em que se encontra. Por suas qualidades, ela é uma das principais árvores utilizadas na arborização urbana no Brasil, podendo ornamentar calçadas, avenidas, praças, parques e jardins em geral.",2022-11-10 18:21:13.814789+00,Quaresmeira_1.jpg
41,Cambuci,Campomanesia phaea,C. phaea,5,30,Villa Branca,Pça dos Esportes,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.264238673003216,-45.946047558310276,Em Extinção,"O Cambuci é uma árvore frutífera nativa da nossa Mata Atlântica que, infelizmente, está nesta lista, podendo deixar de existir.
Também apreciada por sua beleza ornamental em fase de frutificação, o Cambuci produz um fruto adocicado, um tanto ácido, e muito utilizado para compotas, sucos, doces e geleias, além de bebidas alcoólicas como cachaças e licores. Esta espécie pode ser encontrada desde Minas Gerais, Rio de Janeiro, até São Paulo. Em Rio Grande da Serra e Paranapiacaba, cidades pertencentes ao Estado de São Paulo, essa árvore já ganhou até festa dedicada a ela, onde podemos apreciar diversas receitas saborosas feitas da fruta de Cambuci. O fruto, de polpa carnosa e perfume intenso, também pode ser consumido in natura, surgindo entre o final do Verão e o Outono. A fruta do Cambuci amadurece rápido, sendo necessário colher, pois elas logo caem do pé e podem rachar no impacto com o chão. A floração do Cambuci se dá entre os meses de Agosto a Novembro, quando podemos apreciar a beleza de flores grandes e brancas. Atraem muitas aves nesta fase e na fase de frutificação.
A muda de Cambuci mede de 30 a 60 cm de altura, mas o seu crescimento é moderado. Considerada de médio porte, esta árvore pode atingir entre 3 a 5 metros de altura.",2022-11-10 18:31:30.084751+00,Cambuci_1.jpg
42,Ipê amarelo,Handroanthus albus,H. serratifolius,30,60,Jardim Marcondes,Av Getúlio Dorneles Vargas,"Subtropical, Tropical",Mata Atlântica,América do Sul,-23.26855821740107,-45.95053489395256,Abundante,"O Ipê Amarelo é uma espécie arbórea com 20-30 m de altura e 40-60 cm de diâmetro. Suas folhas são compostas, com folíolos densamente branco-pilosos em ambas as faces quando jovens e, uma vez adultos, glabros na face superior e prateados na face inferior. As flores são reunidas em inflorescências terminais, com flores amarelas medindo entre 17 e 33 cm de comprimento. Os frutos são cápsulas cilíndricas, revestido por material aveludado.
 As espécies de árvores nativas como o IPÊ AMARELO são muito indicadas para ações de reflorestamento, preservação ambiental, arborização urbana, paisagismos ou plantios domésticos. O reflorestamento, por exemplo, corresponde a implantação de florestas em áreas que já foram degradadas, seja pelo tempo, pelo homem ou pela natureza.",2022-11-10 18:44:52.150896+00,Ipê_amarelo_1.jpg
